seller_id,seller_state,total_orders,total_revenue,avg_review_score,late_rate_pct,avg_delay_days,composite_score,performance_tier,perf_rank,perf_quartile
bf100ecb7997df312b285358fb32f92c,PR,20,1991.9,4.44,0.0,-16.6,68.8,Good,198,1
141440cad9341e553f8401c574a2aa38,PR,11,1288.2,4.45,0.0,-21.8,68.8,Good,198,1
0bb738e4d789e63e2267697c42d35a2d,SP,28,1979.4,4.64,3.6,-14.0,68.8,Good,198,1
1771297ac436903d1dd6b0e9279aa505,SP,28,2881.27,4.63,3.6,-15.2,68.8,Good,198,1
e6a69c4a27dfdd98ffe5aa757ad744bc,SP,20,495.67,4.45,0.0,-15.8,68.8,Good,198,1
34d1ca11b242c0fee2c834ae8d788566,MG,40,13422.24,4.33,0.0,-13.9,68.8,Good,198,1
670a9dda115b5a88b18cfadee8de2332,SP,11,918.9,4.45,0.0,-17.8,68.8,Good,198,1
bd4889b5e9133b35b66e42a8665cea5c,SP,36,6271.9,4.4,0.0,-13.7,68.8,Good,198,1
d4e4b5192cba4e0e66eb12a9d347239d,PR,11,431.9,4.45,0.0,-16.1,68.7,Good,206,1
0df3984f9dfb3d49ac6366acbd3bbb85,MG,85,9981.39,4.42,1.2,-14.7,68.7,Good,206,1
4d6d651bd7684af3fffabd5f08d12e5a,SP,358,42605.5,4.25,3.9,-13.0,68.7,Good,206,1
e9c6969d40e6a3d2d0f90013165c2b98,SP,10,5239.98,4.4,0.0,-18.3,68.7,Good,206,1
1b938a7ec6ac5061a66a3766e0e75f90,SP,29,3916.7,4.41,0.0,-14.8,68.7,Good,206,1
33a6f4b1e7cdc205511e76ba1b6e0186,SP,102,10312.02,4.46,2.0,-13.0,68.7,Good,206,1
f41ce2e25237f9092cd8e6e7516c7a2f,SP,26,1961.9,4.42,0.0,-14.3,68.6,Good,212,1
4da0e408c99d2fdc2126dc9fce518060,PR,44,3089.92,4.41,0.0,-20.7,68.6,Good,212,1
bf00385a5f7fc1ef39a13c2e9ee50a5f,SP,28,855.4,4.43,0.0,-10.8,68.6,Good,212,1
d6ab728cf30867cf3f1a2e216ae2f9b7,SP,12,2002.0,4.42,0.0,-10.0,68.6,Good,212,1
3092c0b297aacfb4bb6e056ebe13b9b8,SP,14,954.5,4.43,0.0,-26.1,68.6,Good,212,1
a2b5b6105ea5942300631d2e76f4ffe0,SP,16,3286.69,4.75,6.2,-8.1,68.6,Good,212,1
7e26c750b4cb9f6766f58265ff9ebe95,MG,23,1344.3,4.43,0.0,-13.7,68.6,Good,212,1
c68fb906c8f4b4b946d8386bfa6e5467,SP,45,4541.16,4.52,2.2,-13.2,68.6,Good,212,1
83645b1645cdee8953ee54c29ceed564,PR,14,978.9,4.43,0.0,-14.0,68.6,Good,212,1
bccf933e006e9b94a6184af782963e77,SP,45,4162.74,4.52,2.2,-13.3,68.6,Good,212,1
